Date,Open,High,Low,Close,Adj Close,Volume
1970-01-28,4.636615,4.691347,4.636615,4.636615,0.956340,698627
1970-01-29,4.636615,4.675709,4.589701,4.589701,0.946664,597909
1970-01-30,4.589701,4.620977,4.527150,4.527150,0.933763,583521
1970-02-02,4.542788,4.620977,4.542788,4.574063,0.943439,1513958
1970-02-03,4.574063,4.597520,4.503693,4.542788,0.936988,842509
1970-02-04,4.542788,4.566244,4.433323,4.542788,0.936988,952818
1970-02-05,4.448961,4.448961,4.323858,4.370772,0.901508,991187
1970-02-06,4.370772,4.425504,4.339496,4.386409,0.904733,334126
1970-02-09,4.386409,4.519331,4.386409,4.386409,0.904733,919246
1970-02-10,4.386409,4.394228,4.316039,4.316039,0.890219,594712
1970-02-11,4.316039,4.433323,4.316039,4.402047,0.907959,575528
1970-02-12,4.386409,4.386409,4.339496,4.378590,0.903121,263784
1970-02-13,4.370772,4.370772,4.269126,4.308220,0.888606,647469
1970-02-16,4.316039,4.370772,4.316039,4.339496,0.895057,642673
1970-02-17,4.316039,4.316039,4.245669,4.292582,0.885380,450830
1970-02-18,4.292582,4.362953,4.292582,4.347315,0.896670,668252
1970-02-19,4.347315,4.394228,4.347315,4.347315,0.896670,684238
1970-02-20,4.347315,4.386409,4.292582,4.292582,0.885380,492396
1970-02-24,4.292582,4.331677,4.284764,4.308220,0.888606,545153
1970-02-25,4.308220,4.370772,4.284764,4.323858,0.891832,554745
1970-02-26,4.323858,4.339496,4.230031,4.300401,0.886994,729002
1970-02-27,4.300401,4.448961,4.300401,4.409866,0.909572,941627
1970-03-02,4.433323,4.519331,4.433323,4.488055,0.925699,545153
1970-03-03,4.488055,4.644433,4.425504,4.628796,0.963455,951219
1970-03-04,4.628796,4.691347,4.628796,4.660071,0.969966,794548
1970-03-05,4.660071,4.714804,4.660071,4.675709,0.973220,705021
1970-03-06,4.675709,4.699166,4.636615,4.652252,0.968338,495593
1970-03-09,4.652252,4.683528,4.574063,4.613158,0.960201,760975
1970-03-10,4.613158,4.628796,4.581882,4.597520,0.956947,394876
1970-03-11,4.597520,4.628796,4.495874,4.495874,0.935789,721008
1970-03-12,4.495874,4.511512,4.456780,4.464598,0.929279,861693
1970-03-13,4.456780,4.456780,4.378590,4.394228,0.914632,666653
1970-03-16,4.394228,4.417685,4.323858,4.323858,0.899985,764173
1970-03-17,4.323858,4.409866,4.316039,4.394228,0.914632,529166
1970-03-18,4.394228,4.409866,4.370772,4.394228,0.914632,418856
1970-03-19,4.394228,4.425504,4.370772,4.386409,0.913004,501988
1970-03-20,4.386409,4.386409,4.355134,4.370772,0.909750,581922
1970-03-23,4.370772,4.448961,4.362953,4.433323,0.922769,679442
1970-03-24,4.448961,4.527150,4.448961,4.488055,0.934161,751383
1970-03-25,4.527150,4.746079,4.527150,4.620977,0.961828,1381266
1970-03-26,4.620977,4.730441,4.613158,4.636615,0.965083,1405247
1970-03-30,4.628796,4.628796,4.566244,4.597520,0.956947,501988
1970-03-31,4.597520,4.628796,4.574063,4.613158,0.960201,501988
1970-04-01,4.620977,4.683528,4.620977,4.660071,0.969966,844107
1970-04-02,4.660071,4.675709,4.620977,4.660071,0.969966,457225
1970-04-03,4.660071,4.691347,4.644433,4.644433,0.966711,633080
