Date,Open,High,Low,Close,Adj Close,Volume
01-02-2023,3363,3419,3355,3408.350098,3408.350098,2205161
02-02-2023,3427,3469,3420.100098,3460.399902,3460.399902,1813847
03-02-2023,3504,3504,3452.899902,3482.300049,3482.300049,1804469
06-02-2023,3473.149902,3473.149902,3436.850098,3459.949951,3459.949951,1138714
07-02-2023,3468.899902,3493,3461.399902,3472.550049,3472.550049,1455647
08-02-2023,3478.050049,3539.899902,3478.050049,3520.100098,3520.100098,1986946
09-02-2023,3515,3547.600098,3505.300049,3540.850098,3540.850098,1655427
10-02-2023,3520,3542.350098,3508.149902,3537.550049,3537.550049,1187821
13-02-2023,3549,3549,3473.399902,3482.399902,3482.399902,1087939
14-02-2023,3505,3524.850098,3495,3500.100098,3500.100098,1579818
15-02-2023,3487,3526,3460.149902,3520.649902,3520.649902,1429449
16-02-2023,3527.199951,3575,3527,3558.050049,3558.050049,1618931
17-02-2023,3526.149902,3538.899902,3490,3501.149902,3501.149902,1061369
20-02-2023,3502,3522,3475.050049,3487.300049,3487.300049,1296082
21-02-2023,3494,3508.899902,3444.75,3451,3451,1139541
22-02-2023,3414.949951,3447,3395,3401.550049,3401.550049,1218430
23-02-2023,3421,3452.399902,3408,3413.800049,3413.800049,1441570
24-02-2023,3422.5,3433.949951,3382.300049,3400.449951,3400.449951,977592
27-02-2023,3390,3390,3316,3331.850098,3331.850098,1128022
28-02-2023,3328.5,3392,3310,3315.899902,3315.899902,1499748
